样本内数据年份数,步长/月,样本内开始,样本内结束,样本外开始,样本外结束,最佳短期均线,最佳中期均线,样本内净资产
9,3,2005-01-04,2013-12-31,2014-01-02,2014-03-31,3,40,5557427.734950021
9,3,2005-04-01,2014-03-31,2014-04-01,2014-06-30,4,42,5526440.116960017
9,3,2005-07-01,2014-06-30,2014-07-01,2014-09-30,3,40,5522416.847150022
9,3,2005-10-10,2014-09-30,2014-10-08,2014-12-31,14,21,5555810.777060025
9,3,2006-01-04,2014-12-31,2015-01-05,2015-03-31,3,40,8052695.924350021
9,3,2006-04-03,2015-03-31,2015-04-01,2015-06-30,14,21,8186288.886720028
9,3,2006-07-03,2015-06-30,2015-07-01,2015-09-30,14,21,7698628.1381200235
9,3,2006-10-09,2015-09-30,2015-10-08,2015-12-31,13,23,6701645.286410016
9,3,2007-01-04,2015-12-31,2016-01-04,2016-03-31,13,23,4458360.494320011
9,3,2007-04-02,2016-03-31,2016-04-01,2016-06-30,13,23,3317088.0940500116
9,3,2007-07-02,2016-06-30,2016-07-01,2016-09-30,12,23,2589860.4624800067
9,3,2007-10-08,2016-09-30,2016-10-10,2016-12-30,12,23,1879439.1797700056
9,3,2008-01-02,2016-12-30,2017-01-03,2017-03-31,12,23,1850231.2226900037
9,3,2008-04-01,2017-03-31,2017-04-05,2017-06-30,12,23,2067315.9583450074
9,3,2008-07-01,2017-06-30,2017-07-03,2017-09-29,12,23,2506860.9803350056
9,3,2008-10-06,2017-09-29,2017-10-09,2017-12-29,12,23,2703041.012630007
9,3,2009-01-05,2017-12-29,2018-01-02,2018-03-30,12,23,2835008.5906050075
9,3,2009-04-01,2018-03-30,2018-04-02,2018-06-29,1,34,2396615.237425016
9,3,2009-07-01,2018-06-29,2018-07-02,2018-09-28,1,34,1808900.108445012
9,3,2009-10-09,2018-09-28,2018-10-08,2018-12-28,12,23,1745207.8653950067
9,3,2010-01-04,2018-12-28,2019-01-02,2019-03-29,12,100,1586222.2777600016
9,3,2010-04-01,2019-03-29,2019-04-01,2019-06-28,12,100,2010118.322525001
9,3,2010-07-01,2019-06-28,2019-07-01,2019-09-30,12,100,2075318.0425250009
9,3,2010-10-08,2019-09-30,2019-10-08,2019-12-31,12,100,1999950.0222350007
9,3,2011-01-04,2019-12-31,2020-01-02,2020-03-31,12,100,2314722.624380002
9,3,2011-04-01,2020-03-31,2020-04-01,2020-06-30,12,100,2095356.0939650016
9,3,2011-07-01,2020-06-30,2020-07-01,2020-09-30,12,100,2151051.756310003
9,3,2011-10-10,2020-09-30,2020-10-09,2020-12-31,12,100,2363297.606310003
9,3,2012-01-04,2020-12-31,2021-01-04,2021-03-31,12,100,2661706.426310003
9,3,2012-04-05,2021-03-31,2021-04-01,2021-06-30,12,100,2655729.9556050017
9,3,2012-07-02,2021-06-30,2021-07-01,2021-09-30,9,99,2563922.177085003
9,3,2012-10-08,2021-09-30,2021-10-08,2021-12-31,9,99,2563922.177085003
9,3,2013-01-04,2021-12-31,2022-01-04,2022-03-31,12,100,2305266.1694200025
9,3,2013-04-01,2022-03-31,2022-04-01,2022-06-30,12,100,2343849.3556050025
9,3,2013-07-01,2022-06-30,2022-07-01,2022-09-30,12,100,2398969.2112400024
